matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6742922948,-15,-10,18,1,1,1,1,0,-3,0,-29,-5,0,1
KR_6729934769,6,-2,33,-1,1,-1,-1,0,-1,10,-40,-11,0,1
KR_6741020754,14,3,-5,1,-1,1,-1,0,0,-5,-4,18,0,1
KR_6745687315,6,6,7,-1,-1,1,1,0,1,-2,-8,-16,0,1
KR_6746842737,13,18,-42,1,1,1,1,0,3,-3,1,28,0,1
KR_6749855880,30,9,11,-1,0,0,-1,1,3,0,0,0,0,1
KR_6716816401,2,6,34,1,1,-1,1,0,1,1,0,6,0,1
KR_6721692617,7,2,-12,-1,-1,1,1,0,1,3,14,-7,0,1
KR_6751191124,24,9,-49,1,1,1,-1,0,1,-2,0,16,0,1
KR_6747984074,25,8,12,1,1,1,1,0,3,9,-16,21,0,1
KR_6741321546,11,11,33,1,1,1,-1,0,3,1,1,-16,0,1
KR_6751795358,0,-4,-4,-1,1,-1,-1,0,0,1,-5,8,0,1
KR_6753371625,-3,-3,-71,-1,-1,-1,-1,0,0,-5,-3,-5,0,1
