matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6736918412,11,18,56,-1,1,1,1,0,5,0,13,21,3,1
KR_6738243935,6,5,17,-1,-1,-1,1,0,2,0,5,-18,6,1
KR_6749489167,2,3,26,1,1,1,1,0,4,-4,-19,20,6,1
KR_6742798865,18,13,68,1,1,1,1,0,5,6,-3,-1,5,1
KR_6742617675,76,28,1,1,0,0,1,1,6,-1,50,0,0,1
KR_6746411016,7,-1,-156,-1,-1,-1,-1,0,-1,-2,0,7,3,1
KR_6747005801,3,3,43,1,1,1,1,0,2,12,-8,26,3,1
KR_6741679760,5,1,-24,-1,-1,1,-1,0,1,-2,33,-5,2,1
KR_6713625571,-7,1,20,-1,1,1,1,0,2,-5,5,16,6,1
KR_6743900927,12,11,73,1,1,-1,-1,0,6,10,32,19,3,1
KR_6749875216,-4,-5,-33,1,1,1,-1,0,0,5,-6,40,2,1
KR_6730964771,8,3,-3,-1,-1,1,1,0,1,-2,63,9,4,1
KR_6748607974,0,2,24,-1,0,0,1,0,1,0,-26,0,0,1
KR_6745295142,0,-1,44,1,1,-1,1,0,2,-2,2,-7,4,1
KR_6746500069,10,10,19,1,1,1,1,0,-1,3,9,-9,5,1
KR_6747722210,15,9,-31,-1,-1,1,1,0,1,2,2,-31,2,1
KR_6749576439,-24,1,-30,1,0,0,-1,1,-1,-11,40,0,0,1
KR_6745869485,0,1,32,-1,-1,1,-1,0,1,-1,-6,8,4,1
KR_6735477385,-2,1,-56,1,1,1,-1,0,-3,-5,3,-3,2,1
KR_6744562394,18,10,34,1,1,1,1,0,4,1,-27,31,5,1
KR_6748496437,12,6,58,1,-1,1,1,0,3,2,6,0,5,1
KR_6713297241,54,21,20,1,0,0,1,0,4,0,-3,0,0,1
KR_6738352671,-18,3,13,1,0,0,1,1,1,0,-75,0,0,1
KR_6751508369,2,2,41,1,1,1,0,0,1,1,-1,13,5,1
KR_6747744088,30,18,48,-1,1,1,1,0,8,9,-3,9,5,1
KR_6746543874,9,14,48,1,-1,1,1,0,4,6,3,-34,4,1
KR_6738865558,11,-2,20,-1,0,0,1,0,1,5,-51,0,0,1
KR_6740917582,21,15,14,-1,1,1,1,0,6,1,-35,8,3,1
KR_6743912310,12,7,35,1,1,-1,0,0,1,1,28,-6,1,1
KR_6750131104,-1,1,-24,1,1,1,1,0,0,1,-7,6,5,1
KR_6748425411,7,1,23,1,-1,-1,-1,0,0,-1,3,-4,4,1
KR_6747468305,22,15,39,1,1,1,1,0,3,1,-2,-1,3,1
KR_6744148889,9,9,59,1,1,-1,1,0,2,-2,-29,-12,5,1
KR_6718685608,35,17,4,1,0,0,1,0,4,0,0,0,0,1
KR_6750963640,-3,4,19,-1,1,1,1,0,1,9,-23,13,2,1
KR_6746232866,-1,1,5,-1,1,1,1,0,3,1,12,2,2,1
KR_6721792052,1,4,65,-1,-1,1,1,0,2,2,2,-2,3,1
KR_6713272442,18,14,63,1,1,1,1,0,6,4,-67,27,2,1
KR_6747097104,13,8,19,1,1,1,1,0,2,2,11,-5,4,1
KR_6747290836,2,3,-32,-1,-1,1,0,0,-1,0,7,-6,3,1
KR_6743233332,2,4,62,1,1,-1,1,0,3,-5,2,24,4,1
KR_6748042973,24,8,-16,-1,0,0,1,1,2,0,0,0,0,1
KR_6745353309,15,12,46,1,1,1,1,0,4,4,-5,40,3,1
KR_6748337842,12,8,57,-1,-1,1,1,0,4,-3,40,11,1,1
KR_6745687006,-1,-5,17,-1,-1,1,1,0,0,2,8,12,5,1
KR_6748404705,-2,1,-18,1,1,1,0,0,0,4,26,11,5,1
KR_6747346896,25,14,-22,-1,1,1,1,0,5,-5,8,30,3,1
KR_6751465189,10,5,17,1,1,1,1,0,-1,1,-4,13,2,1
KR_6742831791,-8,-3,-16,1,-1,1,1,0,-2,-4,38,12,1,1
KR_6739970835,-1,-3,23,-1,-1,-1,-1,0,-1,31,-46,-9,1,1
KR_6743615972,31,6,54,-1,0,0,1,0,2,-3,-103,0,0,1
KR_6750943894,2,4,105,-1,1,1,1,0,5,1,34,47,3,1
KR_6751663123,7,5,13,1,1,1,-1,0,2,4,-5,-7,5,1
KR_6746110129,32,12,15,-1,0,0,-1,1,2,0,5,0,0,1
