matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6739457185,420,4,4,-1,1,1,1,0,0,1,-1,-1,2,3,1
KR_6731747372,420,10,4,-29,1,-1,1,-1,0,0,-1,3,12,4,1
KR_6748399552,420,-3,-4,-40,-1,-1,-1,-1,0,-1,-2,-31,8,5,1
KR_6742345188,420,5,4,-42,-1,1,-1,-1,0,3,1,6,33,2,1
KR_6747551874,420,6,0,53,1,1,-1,-1,0,1,0,4,28,5,1
KR_6748220410,420,20,15,63,1,0,1,1,0,7,6,3,38,0,1
KR_6732130969,420,1,-1,-4,-1,-1,1,0,0,0,2,-36,-3,1,1
KR_6737275562,420,4,4,74,1,1,1,1,0,4,0,7,42,5,1
KR_6739650315,420,-1,1,-40,1,-1,1,-1,0,-2,-1,-9,-18,4,1
KR_6751311408,420,-4,0,19,1,-1,1,1,0,2,-7,4,4,6,1
KR_6749528369,420,10,16,16,-1,1,1,1,0,5,-3,4,10,3,1
KR_6728260939,420,22,16,24,1,1,1,1,0,5,3,15,15,6,1
KR_6737272042,420,9,11,36,1,-1,1,1,0,1,0,10,10,6,1
KR_6753242666,420,21,8,8,-1,-1,1,1,0,2,6,0,21,2,1
KR_6744621750,420,3,2,44,-1,-1,1,1,0,0,4,-32,-4,3,1
KR_6740622734,420,16,6,-49,-1,1,1,1,0,0,3,6,-14,5,1
KR_6746254267,420,2,-6,-43,-1,-1,-1,1,0,0,-1,44,-21,2,1
KR_6728938184,420,20,14,47,1,-1,1,1,0,3,4,3,16,3,1
KR_6753243055,440,17,11,-45,1,-1,0,-1,0,2,-3,-17,-6,4,1
KR_6737845356,420,28,18,32,-1,1,-1,1,0,4,9,-43,-2,5,1
KR_6718316076,420,-5,0,-48,-1,-1,1,1,0,-1,-2,16,-15,1,1
KR_6750163270,420,-3,1,-33,1,1,1,1,0,2,7,32,39,1,1
KR_6740516901,420,-3,1,4,1,1,-1,1,0,0,2,-26,4,4,1
KR_6736374669,420,9,6,38,-1,1,1,1,0,1,-6,-16,4,1,1
KR_6748036666,420,11,7,50,1,-1,-1,1,0,2,0,14,6,1,1
KR_6746132656,420,1,6,-9,1,1,-1,1,0,2,0,45,7,4,1
KR_6740127050,420,-2,6,27,-1,-1,1,1,0,4,2,-5,36,2,1
KR_6749395175,420,17,8,4,1,1,1,1,0,5,4,16,24,3,1
KR_6749098206,420,-2,0,-38,-1,-1,-1,-1,0,-1,11,-10,-16,1,1
KR_6747129605,420,-10,1,12,-1,1,-1,-1,0,0,8,-2,-6,6,1
KR_6737214788,420,14,16,50,1,1,1,1,0,7,3,7,0,5,1
KR_6749645105,420,2,2,24,1,-1,1,1,0,2,3,-4,-4,5,1
KR_6748463718,420,3,-7,-46,-1,-1,1,-1,0,-1,-8,0,-4,5,1
KR_6752267717,420,9,8,69,1,1,-1,1,0,5,8,-31,41,4,1
KR_6752913127,420,17,13,78,1,1,-1,-1,0,8,3,6,8,3,1
KR_6750196631,420,-17,-3,20,-1,1,-1,-1,0,-2,6,-7,15,6,1
KR_6750393900,420,10,7,39,1,1,1,1,0,3,-3,41,29,1,1
KR_6735513397,420,10,13,23,1,1,-1,-1,0,4,5,-5,10,6,1
KR_6744197409,420,13,10,47,1,1,-1,1,0,4,-2,7,-4,6,1
