matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6751369975,420,5,4,27,1,-1,-1,-1,0,1,-5,5,-6,4,1
KR_6724980291,420,10,18,97,1,1,1,1,0,7,-4,13,39,4,1
KR_6744721237,420,17,10,44,-1,1,-1,-1,0,5,-1,-26,7,2,1
KR_6743658153,420,2,6,-19,1,-1,1,1,0,-1,-2,2,-21,4,1
KR_6747166288,420,-15,-2,11,1,1,1,1,0,-2,-2,7,33,6,1
KR_6752203403,450,6,6,-23,-1,0,0,1,1,1,-7,61,0,0,1
KR_6745408686,420,-1,0,5,-1,1,1,1,0,0,5,-8,4,2,1
KR_6745472129,420,-5,5,33,1,1,1,-1,0,0,0,-38,-5,5,1
KR_6745459593,420,16,19,41,1,1,1,1,0,9,-6,12,40,4,1
KR_6749996916,420,14,5,64,1,1,-1,-1,0,1,2,13,-14,4,1
KR_6750571686,420,-1,4,72,-1,1,-1,1,0,4,5,31,-27,3,1
KR_6744999443,420,-1,0,19,-1,-1,-1,-1,0,1,2,-11,-28,2,1
KR_6736569111,420,3,3,31,1,0,1,1,0,1,-5,5,11,0,1
KR_6743537678,420,-12,-5,3,1,-1,1,-1,0,-3,0,-6,-12,2,1
KR_6726988862,450,32,4,16,1,0,0,1,0,0,4,18,0,0,1
KR_6749480417,420,17,16,10,1,1,1,1,0,5,-2,9,26,4,1
KR_6726318224,420,5,3,11,-1,-1,1,1,0,0,-5,6,-4,5,1
KR_6748020670,420,-16,-5,4,-1,0,1,0,0,-1,-4,-21,15,0,1
KR_6747820899,420,0,1,-2,1,1,-1,-1,0,-1,-3,5,-31,2,1
KR_6735485340,420,23,13,49,1,-1,1,1,0,3,0,0,-23,6,1
KR_6739912425,420,3,2,57,1,1,-1,-1,0,2,2,4,2,6,1
KR_6747201231,420,-16,-7,-9,1,0,-1,-1,0,-2,4,-1,12,0,1
KR_6747438442,420,5,5,24,1,1,1,1,0,1,9,0,-18,1,1
KR_6741403531,450,58,16,27,1,0,0,1,0,5,0,75,0,0,1
KR_6749637415,420,-5,1,-2,1,-1,1,1,0,0,-3,2,-21,4,1
KR_6748756776,420,0,4,35,1,-1,1,1,0,4,1,37,27,4,1
KR_6742619621,420,13,20,60,1,1,1,1,0,5,3,-7,12,6,1
KR_6749389786,420,-6,-3,-12,1,-1,1,1,0,0,3,-3,10,5,1
KR_6749174974,430,10,7,69,-1,1,0,1,0,3,1,0,20,3,1
KR_6749605340,420,17,6,-47,1,-1,1,0,0,-1,-4,-4,-12,1,1
KR_6747299239,420,-12,-7,20,-1,1,-1,0,0,-2,-3,0,10,1,1
KR_6744162876,420,-5,-1,31,1,1,-1,-1,0,2,0,28,-6,5,1
KR_6747619175,420,-1,-1,4,1,1,1,1,0,-2,-2,-9,4,6,1
KR_6749981526,420,12,6,-10,1,1,1,0,0,1,-5,8,25,2,1
KR_6735558790,450,73,17,21,1,0,0,1,0,4,7,3,0,0,1
KR_6751044676,420,-4,0,32,1,-1,-1,1,0,1,1,1,12,6,1
KR_6741713573,420,3,-2,-19,-1,-1,1,-1,0,-1,0,-62,8,2,1
KR_6720526443,420,-20,-4,33,-1,-1,1,1,0,-2,-7,-3,7,5,1
KR_6743661786,420,11,11,5,1,-1,1,1,0,6,-2,11,32,3,1
KR_6748931984,420,4,0,-20,1,-1,-1,1,0,-1,1,0,15,2,1
KR_6749745498,420,2,0,36,-1,1,-1,0,0,1,5,38,12,2,1
KR_6748489857,420,18,10,44,1,1,-1,-1,0,3,1,-6,48,5,1
KR_6750226582,420,7,6,46,1,1,-1,1,0,5,1,-5,-11,5,1
KR_6728544770,420,7,4,26,-1,-1,1,0,0,3,6,-12,5,2,1
KR_6736079549,450,26,-3,-16,-1,0,0,-1,0,-2,0,0,0,0,1
KR_6746792102,420,-9,-7,6,-1,-1,-1,-1,0,0,0,1,28,1,1
KR_6748267941,420,4,6,6,1,-1,1,1,0,1,6,3,-28,1,1
KR_6747239741,420,-1,4,-34,-1,-1,-1,1,0,3,4,-26,51,2,1
KR_6745429126,430,26,2,31,-1,1,1,1,0,3,3,-18,8,3,1
KR_6748713912,420,6,5,-13,-1,0,-1,-1,0,-1,-2,-6,-26,0,1
KR_6735978334,420,10,7,-38,-1,1,1,1,0,3,6,17,23,5,1
KR_6751530053,420,-4,0,-8,1,-1,-1,1,0,0,-2,2,24,6,1
KR_6746103448,420,15,13,79,1,1,-1,1,0,7,2,40,39,1,1
KR_6751122057,420,9,11,41,1,1,-1,1,0,6,2,5,11,4,1
KR_6750661843,450,51,13,27,1,0,0,1,-1,5,0,0,0,0,1
KR_6750747924,420,-2,4,47,-1,1,1,1,0,-1,0,-6,5,6,1
KR_6737408597,420,-3,-1,11,1,1,-1,0,0,-1,-5,2,-20,5,1
KR_6750850319,700,15,7,-41,1,1,1,0,0,-1,1,6,-28,2,1
KR_6744592183,420,11,7,30,1,1,1,1,0,5,7,6,23,1,1
KR_6737507475,420,18,17,17,1,1,1,-1,0,4,1,19,-28,1,1
KR_6750435916,420,0,-3,-21,-1,-1,-1,-1,0,-3,1,-11,-24,2,1
KR_6736629530,420,18,13,50,1,-1,1,1,0,4,6,0,6,5,1
KR_6738800089,420,-1,6,-9,-1,1,1,1,0,0,2,-39,-48,2,1
KR_6750036561,420,8,2,-3,-1,-1,-1,1,0,3,5,-2,23,3,1
KR_6750621026,420,5,-2,-21,-1,-1,1,-1,0,1,7,-16,15,6,1
KR_6749620809,420,16,8,-4,1,-1,1,1,0,3,2,-9,39,2,1
KR_6716767412,420,13,4,-13,1,1,1,1,0,0,-7,9,1,6,1
KR_6749018665,420,-7,-5,-2,-1,1,-1,1,0,1,1,0,38,1,1
KR_6751457836,450,15,7,4,1,0,0,1,1,3,0,0,0,0,1
KR_6746612557,420,16,10,51,-1,1,1,1,0,4,3,-31,38,4,1
KR_6746012136,420,19,17,-15,1,1,1,1,0,3,2,47,1,1,1
KR_6749607495,420,-3,7,87,1,-1,-1,1,0,5,4,3,-22,3,1
KR_6739996672,450,24,14,12,1,0,0,1,1,3,0,0,0,0,1
KR_6744255412,420,16,5,40,1,1,-1,-1,0,5,-5,-12,43,3,1
KR_6740686945,450,-19,-2,45,-1,0,0,1,0,-2,0,0,0,0,1
KR_6750655497,420,13,11,54,1,1,1,1,0,2,3,6,9,4,1
KR_6743607268,420,-3,5,104,-1,1,1,1,0,6,-1,41,32,6,1
KR_6750984093,700,1,6,22,-1,1,-1,1,0,4,2,-7,60,2,1
KR_6723083849,420,4,3,14,1,-1,1,1,0,-1,-4,39,6,4,1
KR_6749007576,420,0,5,65,1,-1,-1,1,0,1,5,-30,-22,6,1
KR_6740463210,420,-4,7,-17,-1,1,1,1,0,6,1,24,48,5,1
KR_6745142393,420,12,8,11,1,-1,-1,-1,0,1,4,-3,5,4,1
KR_6751641853,420,-6,-4,-16,1,1,-1,0,0,-2,-1,-4,7,6,1
KR_6739827830,450,25,11,-9,1,0,0,-1,1,2,0,130,0,0,1
KR_6743665374,450,-5,-1,28,-1,0,0,1,1,1,2,-3,0,0,1
KR_6743724140,420,8,6,50,1,1,1,1,0,4,3,-2,20,4,1
KR_6741366505,420,29,33,140,1,0,1,1,0,11,-4,13,13,0,1
KR_6749680777,440,2,3,51,-1,-1,0,-1,0,1,-21,43,8,4,1
KR_6728762514,420,7,2,6,-1,1,1,1,0,0,8,-12,26,5,1
KR_6730142109,450,43,3,-21,1,0,0,0,0,3,-7,9,0,0,1
KR_6751392336,420,22,6,45,1,1,-1,1,0,3,-3,-5,15,6,1
KR_6744257622,420,21,9,-52,1,-1,1,0,0,5,3,-1,36,2,1
KR_6750758785,420,5,3,-1,-1,-1,1,1,0,1,-5,2,-8,2,1
KR_6749260133,420,7,10,23,1,1,-1,0,0,5,1,20,45,5,1
KR_6737287784,420,-3,-2,-12,-1,-1,-1,-1,0,0,0,-19,-3,1,1
KR_6737279054,420,2,2,23,1,1,1,1,0,5,5,2,32,5,1
KR_6736906254,420,-1,1,85,-1,1,-1,1,0,-2,2,-5,-64,2,1
KR_6741143680,420,9,5,-18,1,1,1,-1,0,4,6,17,27,6,1
KR_6751693181,440,-11,-15,-26,-1,1,-1,-1,0,-3,0,-4,-11,2,1
KR_6748692782,440,8,7,27,1,0,1,1,0,3,1,51,19,0,1
KR_6748981733,420,0,0,-29,1,1,-1,1,0,-1,4,-2,-10,3,1
KR_6730466683,420,-10,-5,-9,1,-1,1,0,0,-3,-4,6,14,2,1
KR_6747017727,420,5,2,25,-1,1,1,0,0,2,-2,4,3,3,1
KR_6751354454,420,9,10,81,-1,1,-1,1,0,3,-1,-1,4,4,1
KR_6751378386,450,27,8,42,1,0,0,1,1,3,-8,48,0,0,1
KR_6727185302,450,47,14,31,1,0,0,1,1,2,0,-11,0,0,1
KR_6745237571,440,3,3,18,-1,1,1,1,0,3,-9,45,15,6,1
KR_6741157700,440,2,-1,0,-1,1,1,1,0,2,0,6,55,3,1
KR_6750872405,420,9,5,58,1,1,-1,-1,0,1,-4,-7,-9,3,1
KR_6749581609,420,-5,0,57,1,-1,-1,1,0,3,6,7,12,2,1
KR_6746591364,450,11,8,16,-1,0,0,1,0,3,0,0,0,0,1
KR_6750731793,700,-17,-7,55,-1,1,-1,-1,0,0,1,16,36,3,1
KR_6747951557,420,8,6,8,1,1,-1,1,0,5,6,38,3,4,1
KR_6742487274,450,8,11,10,1,0,0,1,1,3,0,22,0,0,1
KR_6743951594,420,23,16,57,1,1,1,1,0,9,3,-3,24,1,1
KR_6749821523,420,3,0,-95,1,1,-1,-1,0,-4,24,-44,-12,4,1
KR_6746403156,440,0,6,65,1,-1,1,1,0,2,-1,7,23,1,1
KR_6728988995,420,10,2,80,1,1,-1,1,0,-1,0,-72,-22,4,1
KR_6748524323,420,6,2,25,-1,-1,1,-1,0,3,8,-9,12,6,1
KR_6739482403,420,-5,2,32,-1,1,1,1,0,3,3,-2,24,1,1
