matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6754955827,420,6,83,45,17,3,6,3,-1,2,3,5,8,3,6,7,1,4,4,0,4,13,27,0,3,3,1,0,1,1,1,1,1,4,1
KR_6671463639,420,-1,33,-4,-2,2,2,0,-7,3,10,1,6,5,1,2,1,1,2,1,1,-3,-39,-1,4,3,0,0,1,0,1,1,1,0,1
KR_6726643114,420,0,7,-27,4,-1,0,1,-1,3,4,3,5,2,2,4,2,1,3,2,1,8,-123,2,3,5,3,0,0,1,-1,0,1,4,1
KR_6471179540,420,4,61,27,11,3,5,2,5,5,0,2,2,0,1,3,2,0,3,3,2,17,1,2,1,3,1,0,4,1,1,1,1,1,1
KR_6757645296,420,1,30,-5,3,-1,0,1,1,3,2,2,2,0,3,3,0,-2,0,2,0,5,-1,0,3,3,0,0,0,1,-1,1,-1,6,1
KR_6757129523,420,-3,-61,-4,-2,0,3,3,-1,2,3,0,1,1,-1,2,3,0,3,3,0,-2,18,1,3,4,-5,0,-1,0,1,-1,1,0,1
KR_6634245992,420,0,28,28,-3,1,2,1,-2,0,2,-2,1,3,1,1,0,-1,1,2,0,4,-2,-2,7,5,0,0,0,1,-1,0,-1,4,1
KR_6722505276,420,-1,-72,20,6,-2,1,3,13,14,1,-1,1,2,-4,0,4,0,0,0,0,12,-4,1,4,5,-3,0,0,0,1,0,-1,0,1
KR_6742074283,420,3,-4,8,5,-1,1,2,1,3,2,-1,1,2,5,7,2,1,2,1,3,17,10,4,3,7,-2,0,0,-1,-1,1,1,5,1
KR_6758313044,420,2,24,8,9,2,4,2,-1,0,1,1,2,1,5,5,0,2,3,1,1,10,8,2,2,4,3,0,1,1,1,1,1,6,1
KR_6733646161,420,-1,2,-10,-2,0,1,1,3,5,2,-4,2,6,1,2,1,-2,0,2,0,2,1,-3,6,3,-1,0,-1,1,-1,-1,1,2,1
KR_6722258552,420,4,93,20,7,1,4,3,-1,2,3,3,4,1,3,4,1,1,3,2,0,9,-8,-2,4,2,1,0,2,1,1,1,1,4,1
KR_6677035578,420,1,-5,1,0,0,0,0,1,1,0,1,2,1,-2,2,4,0,2,2,0,-1,33,2,2,4,-3,0,0,-1,1,0,-1,3,1
KR_6739300335,420,1,75,43,0,-2,1,3,1,3,2,-1,1,2,2,3,1,0,0,0,0,4,-7,-1,7,6,10,0,0,1,-1,0,-1,3,1
KR_6569854307,420,2,-1,16,-1,-6,0,6,-1,3,4,3,4,1,1,3,2,2,2,0,0,2,-3,-3,6,3,2,0,-1,1,-1,1,-1,6,1
KR_6538792648,420,2,-49,32,2,-5,0,5,6,6,0,-1,1,2,-3,1,4,5,5,0,0,6,-9,-4,5,1,3,0,-1,-1,1,-1,-1,6,1
KR_6733775817,420,8,139,12,18,6,7,1,5,6,1,5,5,0,1,4,3,1,2,1,0,16,15,5,2,7,1,0,4,1,1,1,1,4,1
KR_6583983569,420,0,-17,-12,8,-3,0,3,3,5,2,-3,0,3,11,12,1,0,2,2,2,19,-41,0,4,4,26,0,-2,1,-1,-1,1,3,1
KR_6696721946,420,3,79,24,0,5,6,1,0,5,5,-1,0,1,-2,1,3,-2,0,2,1,-3,-33,1,3,4,3,0,4,1,1,1,1,4,1
KR_6666694739,420,2,-25,5,6,-1,1,2,4,4,0,-2,0,2,5,5,0,0,0,0,0,8,77,0,2,2,-3,0,0,0,1,0,-1,0,1
KR_6761188359,420,-2,-35,-8,-4,-1,1,2,-3,3,6,1,3,2,-1,4,5,0,4,4,0,-1,3,1,3,4,3,0,0,-1,-1,0,1,6,1
KR_6757715702,420,-4,-22,8,-5,0,3,3,-2,5,7,0,3,3,-1,4,5,-2,0,2,-1,-9,-20,0,3,3,-3,0,-1,0,1,-1,-1,0,1
KR_6727006101,440,0,-18,23,-2,5,7,2,-4,3,7,0,2,2,-4,2,6,1,1,0,-1,-5,10,1,4,5,-5,0,1,0,0,1,-1,0,1
KR_6689874563,420,1,23,15,2,-5,1,6,2,2,0,0,2,2,2,6,4,3,3,0,0,3,5,0,6,6,-4,0,1,-1,1,1,1,2,1
KR_6413510121,420,2,63,12,4,5,7,2,-6,3,9,3,5,2,1,1,0,1,1,0,2,-1,-5,3,6,9,0,0,1,1,-1,1,1,1,1
KR_6624531168,420,2,20,8,1,1,1,0,5,6,1,-2,1,3,-2,3,5,-1,1,2,0,3,9,4,4,8,-6,0,1,1,1,1,-1,6,1
KR_6687279905,420,3,21,25,0,-2,0,2,-1,3,4,1,3,2,1,2,1,1,1,0,0,7,15,3,4,7,2,0,1,1,1,1,-1,1,1
KR_6756591263,420,-1,-2,-8,2,2,3,1,-2,2,4,3,4,1,0,4,4,-1,0,1,0,-5,-8,-3,7,4,-1,0,0,0,-1,0,-1,0,1
KR_6760591381,440,1,-26,8,6,-2,0,2,2,2,0,-5,1,6,7,9,2,4,5,1,1,1,7,2,5,7,0,0,1,1,1,1,1,2,1
KR_6709921195,420,0,132,-1,-1,1,1,0,-1,3,4,-2,0,2,-1,3,4,2,2,0,0,-2,29,0,4,4,0,0,1,1,-1,1,1,1,1
KR_6748433811,420,1,57,6,-4,7,8,1,-4,1,5,0,3,3,-6,2,8,-1,0,1,-2,-8,259,-1,6,5,-1,0,1,1,-1,1,-1,5,1
KR_6760476810,420,2,40,-4,6,3,3,0,0,2,2,-2,4,6,3,3,0,2,2,0,0,3,-2,1,2,3,3,0,0,1,1,0,1,3,1
KR_6658228762,420,2,-4,-23,3,2,2,0,2,3,1,3,4,1,-2,1,3,-2,4,6,-1,-2,0,2,5,7,8,0,1,-1,-1,-1,-1,1,1
KR_6758415895,420,-1,53,-12,0,0,1,1,-3,1,4,4,6,2,-3,3,6,2,2,0,0,6,-8,0,6,6,-3,0,0,1,-1,1,1,4,1
KR_6753614485,420,0,76,-20,5,2,3,1,5,5,0,0,1,1,-4,1,5,2,4,2,1,2,-4,-2,5,3,2,0,1,-1,0,1,1,1,1
KR_6695041484,420,1,23,-6,5,1,1,0,1,4,3,3,4,1,2,3,1,-2,1,3,-1,5,-13,2,2,4,0,0,1,1,1,1,-1,6,1
KR_6762426459,420,-1,1,20,4,-7,2,9,1,1,0,0,1,1,8,10,2,2,3,1,0,14,7,4,0,4,-2,0,2,1,1,1,1,6,1
KR_6664693833,420,-2,-34,12,2,1,2,1,4,8,4,0,2,2,-2,1,3,-1,0,1,1,2,-5,-3,7,4,6,0,0,-1,0,-1,1,4,1
KR_6730534398,420,4,23,3,7,1,2,1,3,5,2,2,4,2,-1,1,2,2,2,0,0,12,58,0,5,5,2,0,2,-1,1,1,1,6,1
KR_6689281369,420,8,129,44,11,1,2,1,7,7,0,1,1,0,1,2,1,1,1,0,0,13,41,3,2,5,5,0,4,1,1,1,1,1,1
KR_6629460757,420,-2,-60,-32,1,3,6,3,0,2,2,1,3,2,-4,1,5,1,1,0,4,5,3,0,6,6,0,0,1,0,1,1,1,0,1
KR_6740469275,420,0,47,-4,5,1,1,0,6,8,2,-7,2,9,5,5,0,0,0,0,1,2,8,8,2,10,-2,0,2,1,1,1,1,2,1
KR_6692082364,420,1,14,12,-2,2,4,2,-4,1,5,1,1,0,0,3,3,-1,2,3,0,-7,-2,-9,12,3,3,0,1,1,-1,-1,-1,4,1
KR_6606703959,420,3,73,5,0,-2,3,5,-8,0,8,2,3,1,1,3,2,7,7,0,0,2,11,-4,8,4,6,0,2,-1,0,1,-1,1,1
KR_6435969858,420,2,-11,23,7,2,2,0,1,7,6,3,5,2,1,6,5,0,1,1,2,12,-5,7,8,15,1,0,-1,1,-1,-1,1,1,1
KR_6733706974,420,4,68,16,6,-2,3,5,-2,2,4,3,5,2,-1,2,3,8,8,0,0,-1,2,-2,4,2,4,0,1,1,-1,-1,1,2,1
KR_6744137057,440,1,37,-25,4,1,1,0,-2,1,3,2,2,0,2,4,2,1,1,0,0,1,9,2,5,7,4,0,1,1,-1,1,1,5,1
