matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6739802161,420,1,7,0,2,1,1,0,1,4,3,3,3,0,-3,1,4,0,0,0,0,1,-16,0,3,3,-2,0,1,1,1,1,1,2,1
KR_6767144673,420,1,-11,-16,10,-2,1,3,3,3,0,5,7,2,4,4,0,0,0,0,0,14,16,-2,7,5,0,0,0,-1,1,0,1,2,1
KR_6758833148,420,4,62,25,4,2,3,1,2,4,2,1,2,1,-2,0,2,1,1,0,0,-3,-26,4,2,6,-2,0,1,0,1,1,-1,0,1
KR_6718970870,420,2,51,-6,8,7,8,1,2,4,2,-2,0,2,2,5,3,-1,0,1,-1,12,1,2,4,6,0,0,1,1,1,1,-1,4,1
KR_6626997344,420,1,7,9,3,4,4,0,-1,1,2,-2,2,4,2,2,0,0,0,0,0,0,-13,2,1,3,6,0,1,-1,1,1,1,1,1
KR_6766000290,420,3,42,-8,3,1,2,1,4,4,0,4,4,0,-7,0,7,1,3,2,-1,-4,-23,-2,4,2,4,0,-1,0,0,-1,-1,0,1
KR_6753009253,440,2,70,-16,4,2,2,0,0,3,3,7,7,0,-1,5,6,-4,1,5,1,8,1,2,4,6,3,0,1,-1,0,1,1,4,1
KR_6742682619,420,-1,-70,17,-8,0,1,1,-1,2,3,-5,0,5,0,3,3,-2,1,3,0,-5,1,-3,4,1,1,0,-1,-1,1,-1,-1,1,1
KR_6760956175,420,1,15,-16,7,4,4,0,4,8,4,-6,1,7,0,4,4,5,5,0,1,12,-3,0,3,3,2,0,3,-1,1,1,1,5,1
KR_6732586528,420,1,33,12,0,1,2,1,2,4,2,0,4,4,-3,0,3,0,0,0,0,-4,-3,-2,4,2,1,0,0,1,1,1,-1,6,1
