matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6768149697,420,4,70,25,1,-2,3,1,0,2,2,0,3,3,1,0,1,2,1,3,-1,-3,-60,10,-13,3,0,0,-1,-1,-1,-1,-1,2,-1
KR_6762634495,420,-3,-20,4,-6,0,1,1,2,3,5,-2,3,1,-6,6,0,0,0,0,-1,-8,7,2,-8,6,-7,0,-1,1,0,-1,-1,5,-1
KR_6673590166,440,-4,-62,-32,-8,-2,2,0,-2,7,5,1,0,1,-3,7,4,-2,2,0,0,4,18,-2,-3,5,-2,0,-1,-1,-1,-1,-1,6,-1
KR_6765610125,420,-2,-74,-28,-14,-6,9,3,-3,6,3,-1,3,2,-5,5,0,1,3,4,-2,-5,-7,-5,-3,8,-2,0,-1,-1,-1,-1,1,4,-1
KR_6756987538,440,2,-40,6,5,1,1,2,-1,4,3,1,1,2,3,4,7,1,1,2,-1,10,3,-1,-3,4,-2,0,0,1,-1,0,-1,5,-1
KR_6704459810,420,-1,-5,-17,-7,2,1,3,1,3,4,-2,3,1,-9,9,0,1,0,1,0,-4,-13,3,-7,4,0,0,0,-1,-1,-1,-1,2,-1
KR_6769755621,420,-2,-60,-12,-3,-1,2,1,-5,6,1,-1,1,0,0,1,1,4,1,5,-1,-4,-5,2,-6,4,-1,0,-2,-1,-1,-1,-1,6,-1
KR_6747686204,420,-7,-134,2,-19,-1,3,2,-4,4,0,-5,5,0,-11,11,0,2,0,2,0,-13,-27,0,-3,3,-2,0,-2,0,-1,-1,-1,0,-1
KR_6750951223,420,-5,-19,-11,-6,-3,3,0,2,2,4,0,2,2,0,2,2,-5,6,1,0,-6,-7,0,-4,4,1,0,-2,-1,-1,-1,1,3,-1
KR_6666696353,420,-4,-43,-6,2,-1,2,1,-2,5,3,3,1,4,0,2,2,2,0,2,0,9,42,1,-6,5,-8,0,-1,1,1,-1,1,1,-1
KR_6650785507,420,0,-16,6,4,-1,2,1,0,2,2,2,2,4,2,2,4,1,2,3,0,1,9,5,-6,1,-2,0,0,1,-1,-1,1,4,-1
KR_6703277973,420,1,47,10,1,-2,3,1,-5,6,1,5,1,6,4,1,5,-1,2,1,0,4,0,1,-4,3,3,0,-1,1,1,-1,-1,6,-1
KR_6614520908,420,-3,-58,-3,-5,1,3,4,-3,4,1,2,1,3,-5,7,2,0,0,0,0,-9,-2,-2,-3,5,-2,0,-1,-1,-1,-1,-1,5,-1
KR_6717310616,420,-4,-41,-4,-16,-4,4,0,-7,7,0,1,1,2,-4,7,3,-2,2,0,0,-16,10,-1,-4,5,2,0,0,1,-1,0,-1,2,-1
KR_6771785549,420,0,29,-18,-2,-2,3,1,-2,3,1,-1,1,0,1,1,2,2,2,4,0,-2,-11,-7,-3,10,7,0,0,-1,-1,1,-1,6,-1
KR_6398057722,440,-4,-69,-20,-15,-5,6,1,3,0,3,-1,2,1,-4,4,0,-8,8,0,-2,-11,-48,-7,-2,9,3,0,-4,-1,-1,-1,-1,6,-1
KR_6726873374,420,-3,-86,-47,-6,-2,3,1,0,2,2,-2,5,3,-1,2,1,-1,1,0,0,-3,3,0,-3,3,-5,0,0,1,-1,-1,-1,4,-1
KR_6664421059,440,0,-34,19,-1,-1,2,1,5,2,7,-5,5,0,0,1,1,0,1,1,0,-10,24,-1,-7,8,5,0,0,-1,1,-1,1,1,-1
KR_6497675533,420,4,61,8,6,-1,3,2,3,0,3,4,3,7,0,1,1,0,0,0,2,6,11,7,-9,2,0,0,0,1,1,0,1,1,-1
KR_6767746204,420,-2,-24,2,-4,-1,1,0,-3,3,0,2,0,2,0,1,1,-2,2,0,0,0,-28,6,-9,3,18,0,0,1,-1,-1,-1,6,-1
KR_6653205725,420,-2,2,-19,-5,2,0,2,-5,8,3,-3,6,3,1,1,2,0,0,0,0,-2,22,0,-6,6,1,0,0,1,-1,0,1,1,-1
KR_6768664294,420,1,21,6,-3,-1,4,3,-1,1,0,1,1,2,-2,3,1,0,1,1,0,2,-15,-1,-3,4,1,0,0,1,-1,0,-1,1,-1
KR_6713271843,420,-2,-30,4,-9,-1,1,0,0,3,3,-3,4,1,-7,7,0,2,1,3,0,-4,25,-4,-4,8,0,0,0,0,0,0,-1,0,-1
KR_6757607688,420,-2,-88,-2,-8,1,1,2,0,3,3,-6,6,0,-1,1,0,-2,2,0,0,-13,-5,-1,-4,5,-3,0,0,1,1,-1,1,5,-1
KR_6717541501,420,-7,-91,-44,-14,-5,5,0,-2,4,2,-1,3,2,-4,5,1,-2,2,0,0,-9,144,1,-6,5,1,0,-3,-1,-1,-1,1,5,-1
KR_6767109696,420,-1,-17,9,-4,0,2,2,-4,5,1,-2,3,1,2,0,2,0,1,1,0,-2,6,4,-8,4,-4,0,0,1,1,0,-1,6,-1
KR_6613669727,420,-6,-70,-39,-12,1,0,1,-2,3,1,-5,5,0,-6,7,1,0,0,0,0,-7,-135,-4,-1,5,-2,0,-1,-1,-1,-1,1,1,-1
KR_6768025745,420,1,23,8,2,-1,4,3,-5,7,2,6,2,8,3,0,3,-1,2,1,0,-1,-14,-4,-2,6,0,0,1,0,1,1,1,0,-1
KR_6761861774,440,-1,-29,-12,1,1,1,2,-1,2,1,2,1,3,-4,4,0,3,2,5,0,-8,17,4,-5,1,-2,0,1,-1,1,1,-1,6,-1
KR_6717801658,420,1,8,24,1,0,1,1,2,0,2,4,3,7,-1,2,1,-4,6,2,0,-2,6,1,-7,6,2,0,0,-1,-1,0,-1,2,-1
KR_6728270670,420,0,19,-12,-1,1,2,3,-2,4,2,0,2,2,2,4,6,-2,3,1,0,-7,-22,-2,-5,7,2,0,1,-1,1,1,1,5,-1
