Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,Diff-K-jug,Diff-K-mid,Diff-K-ad,Diff-K-sup,K-LOSE-sup,invadeKill,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
-3,-68,-1,-5,-2,-2,-1,0,0,0,1,5,6,-8,0,0,-1,-1,0,1,4,-1
-1,44,16,-4,-3,-1,0,-1,1,-1,0,26,2,-3,0,0,-1,0,0,-1,5,-1
-2,-19,23,-7,-2,1,-3,-2,-1,0,0,176,0,-5,0,0,-1,1,-1,-1,5,-1
-3,-129,-7,-4,-1,-2,-1,0,0,-1,0,-6,3,-8,0,-2,1,-1,-1,-1,6,-1
-3,-101,-12,0,1,1,-2,0,0,0,0,6,1,-4,0,-1,1,-1,-1,1,6,-1
-3,-70,-16,-3,4,0,-12,6,-1,-1,0,7,3,-5,0,-1,1,-1,-1,1,4,-1
5,84,40,7,-1,0,4,1,3,-6,0,5,0,-4,0,2,1,0,1,1,3,-1
-1,23,-8,-3,-1,2,-1,-4,1,-2,0,8,3,-8,0,-1,0,0,-1,-1,0,-1
-4,-24,4,-5,1,-2,-1,-1,-2,0,0,2,-2,-2,0,0,-1,1,-1,1,1,-1
1,49,-12,-5,0,-4,1,0,-2,0,-1,3,-1,-3,0,-1,-1,-1,-1,-1,4,-1
-7,-92,-15,-14,-1,-1,-7,-4,-1,-2,0,114,-1,-8,0,-3,-1,-1,-1,-1,3,-1
-1,-85,7,-8,-2,-2,-1,-2,-1,-2,0,-2,-4,-1,0,-1,0,-1,-1,-1,0,-1
0,10,16,-1,4,1,-1,-3,-2,0,0,5,0,-6,0,0,0,-1,0,-1,0,-1
-4,-19,-28,-13,2,-7,0,-4,-4,0,0,-45,-1,-2,0,-4,-1,-1,-1,-1,2,-1
-2,-30,-37,-5,0,-3,-2,0,0,-1,0,-8,-3,-4,0,-1,-1,-1,-1,-1,6,-1
0,11,30,4,6,3,-1,-3,-1,0,0,-319,0,-6,0,0,-1,1,1,1,5,-1
1,-11,0,2,-1,0,4,2,-3,-3,0,6,4,-7,0,-2,1,1,-1,1,2,-1
-3,-37,-4,-10,0,-2,-3,-5,0,0,0,187,-3,-3,0,-1,-1,-1,-1,-1,2,-1
-3,-34,19,-2,-2,-1,0,0,1,-1,-2,-29,-1,-4,0,-1,-1,1,-1,-1,1,-1
-4,-18,-24,-3,3,-4,-4,3,-1,0,0,12,0,-6,0,0,-1,-1,0,-1,4,-1
1,7,-9,7,2,0,-1,6,0,-2,1,-1,-4,-4,0,0,-1,-1,0,1,4,-1
-3,1,-52,1,2,0,-4,3,0,-1,0,-11,1,-3,0,0,-1,-1,-1,1,3,-1
-4,-25,4,-21,-1,-6,-3,-12,1,-2,0,-2,-4,-3,0,-2,-1,-1,-1,-1,2,-1
2,-69,52,8,-3,1,2,2,6,-7,0,-4,-5,-2,0,0,1,-1,1,-1,4,-1
-7,-67,-5,-14,-2,-4,-1,-8,1,-1,0,-2,1,-3,0,-1,-1,1,-1,1,2,-1
-5,-106,-31,-5,-3,4,1,-8,1,-2,-3,13,2,-6,0,-3,-1,-1,-1,-1,3,-1
-4,-65,-11,-4,0,0,-5,1,0,0,1,-6,-1,-3,0,-1,-1,-1,-1,1,5,-1
-4,-16,-30,-4,2,-3,-1,-4,2,-5,1,0,1,-4,0,0,-1,1,1,1,6,-1
-3,-35,6,-4,-6,0,-1,0,3,-4,0,-9,0,-4,0,-1,0,1,-1,1,0,-1
0,35,14,-3,-4,0,1,0,0,0,0,18,2,-6,0,0,1,-1,-1,-1,5,-1
-1,-34,40,-7,-4,5,0,-4,-4,0,0,-9,-3,-2,0,-2,0,-1,-1,-1,0,-1
-3,-30,-35,-3,-3,0,-2,2,0,0,0,-1,3,-8,0,-1,-1,-1,-1,1,3,-1
1,21,-30,1,0,1,-2,3,-1,-1,0,4,-1,-5,0,1,-1,-1,1,-1,5,-1
-3,-40,-8,-2,2,2,-3,-1,-2,0,0,18,-3,-2,0,-1,1,-1,-1,-1,2,-1
-3,-19,-36,-10,-6,-2,-4,4,-2,0,0,-16,-5,-3,0,-1,-1,-1,-1,-1,2,-1
-3,-18,6,-2,-2,-1,-3,0,4,-5,0,-2,0,-6,0,0,1,1,0,1,3,-1
0,48,-24,5,3,2,-2,3,-1,-1,0,-12,1,-4,0,0,0,-1,1,1,0,-1
1,-13,-11,3,1,0,-1,2,1,-3,0,-12,0,-4,0,0,-1,-1,0,1,3,-1
-3,-85,-15,-3,-1,-4,5,-3,0,0,0,1,-2,-4,0,-1,-1,1,-1,-1,3,-1
3,10,17,-2,-3,1,1,-1,0,0,0,-48,1,-4,0,0,1,1,1,-1,2,-1
-5,-64,-36,-10,-6,-1,-1,-2,0,0,0,-8,-1,-4,0,-2,-1,-1,-1,1,1,-1
-5,1,-31,-8,0,1,-6,-2,-1,-1,0,-119,3,-5,0,-1,-1,-1,-1,-1,4,-1
-1,-32,-18,-2,1,0,0,-1,-2,0,0,21,-4,-1,0,-1,0,-1,-1,-1,0,-1
0,-45,27,-3,-2,-1,-1,1,0,0,-1,-44,2,-6,0,0,0,1,-1,-1,0,-1
-4,-38,-28,-10,2,-5,-1,-5,-1,0,0,-1,-2,-4,0,0,-1,1,-1,-1,2,-1
3,-23,-7,6,-1,3,-1,6,-1,-1,0,2,-1,-4,0,0,1,1,-1,-1,5,-1
1,0,1,-3,1,-9,0,3,2,-2,-1,-3,-1,-4,0,-1,1,-1,-1,-1,5,-1
1,-9,-4,0,0,4,-3,-1,0,-1,0,8,1,-7,0,0,-1,1,0,-1,5,-1
-1,24,23,-9,-2,-7,1,-2,1,-1,0,9,-5,-3,0,-1,1,1,-1,-1,5,-1
-1,-3,-14,-9,-3,-7,2,-1,0,0,0,-29,-5,-2,0,-2,-1,-1,-1,-1,4,-1
0,-43,14,-6,0,4,-8,-3,1,-2,1,1,2,-4,0,-1,1,-1,-1,1,5,-1
-5,-26,-17,-11,0,-4,-2,-2,-3,0,0,2,-1,-3,0,0,-1,1,0,1,4,-1
-2,6,-15,-1,-3,1,-1,2,0,-1,-1,-2,1,-6,0,0,-1,1,0,-1,5,-1
3,51,3,2,3,1,2,-3,-1,-1,0,-2,-2,-2,0,0,1,1,1,-1,5,-1
-6,-87,-70,-18,-6,-1,-6,-5,0,-1,-3,-7,-6,0,0,-3,-1,-1,-1,1,2,-1
-3,-84,3,-10,4,-1,-3,-8,-2,0,0,-2,1,-9,0,-1,1,1,-1,1,4,-1
-2,-34,-5,-12,0,-2,-3,-5,-2,0,-1,0,1,-6,0,-1,1,1,-1,-1,4,-1
-4,-68,-8,-18,-3,-1,-7,-7,0,-1,0,38,-4,-1,0,0,0,-1,-1,-1,0,-1
-1,-75,-14,-5,-2,-1,0,-1,-1,-1,0,-40,1,-7,0,0,-1,-1,0,1,2,-1
-8,-97,-67,-26,-3,-3,-14,-5,-1,0,0,46,3,-6,0,-2,-1,-1,-1,-1,1,-1
-6,-26,-27,-7,2,-3,-1,-8,3,-4,0,-2,-1,-7,0,-2,1,1,-1,1,1,-1
0,6,-4,3,3,-1,3,0,-2,0,0,-4,0,-6,0,0,-1,1,-1,1,1,-1
-4,-41,-28,-6,-1,-1,-4,-1,1,-2,0,3,5,-11,0,-3,-1,0,-1,-1,4,-1
-2,-26,-14,1,2,3,-1,-3,0,0,0,7,0,-3,0,0,-1,1,-1,1,1,-1
-4,-73,-12,-6,0,0,0,0,-6,0,0,221,6,-6,0,-2,1,0,-1,-1,4,-1
-1,-46,8,-3,-1,-1,1,-2,0,-2,0,103,5,-6,0,0,1,-1,-1,-1,6,-1
0,-24,14,-4,0,-3,1,-1,-1,-1,0,-7,-2,-7,0,-1,-1,-1,-1,1,6,-1
-5,-47,-14,-8,-4,1,1,-3,-3,0,-1,4,2,-5,0,-2,1,-1,-1,-1,1,-1
-2,-14,0,-10,-4,1,0,-7,0,0,0,4,-1,-6,0,-1,-1,1,-1,1,6,-1
-1,-2,-19,-2,1,0,1,-3,-1,0,0,34,1,-6,0,-1,-1,-1,-1,1,6,-1
-5,-82,-62,-5,1,-1,-1,-3,-1,-1,0,7,2,-7,0,-2,-1,-1,-1,1,6,-1
-3,-16,-7,-5,0,-1,-1,-2,-1,0,0,3,1,-5,0,-1,-1,-1,-1,-1,4,-1
-1,13,14,-1,-5,-2,3,0,3,-4,0,139,0,-4,0,-1,1,-1,-1,1,4,-1
0,40,12,-7,-2,1,-2,-5,1,-1,0,1,1,-6,0,1,1,1,1,-1,4,-1
-1,-73,-16,-2,3,3,-1,-5,-2,0,0,-1,1,-3,0,0,-1,1,1,-1,4,-1
0,-19,16,-2,4,-4,-2,-4,4,-4,0,11,-2,-2,0,1,-1,1,1,-1,1,-1
0,-19,4,-1,-5,-1,-2,6,1,-1,0,-2,-7,-2,0,1,1,-1,1,-1,6,-1
-3,-79,-11,-8,1,-6,1,-3,-1,0,0,27,1,-5,0,0,1,-1,-1,-1,3,-1
0,-10,12,4,-3,0,4,1,2,-2,0,-12,-3,-3,0,1,-1,1,1,-1,1,-1
0,-16,-27,4,-3,0,4,1,2,-3,0,-2,-1,-4,0,-1,-1,1,-1,1,1,-1
0,29,7,6,0,-3,0,6,3,-4,0,-47,0,-4,0,-1,-1,0,-1,1,1,-1
-2,-6,-13,-7,-1,-5,-1,0,0,0,0,13,0,-4,0,0,-1,-1,0,-1,3,-1
5,111,7,3,-5,-1,3,0,6,-6,0,2,-2,-4,0,2,0,-1,1,1,0,-1
-5,-54,-41,-8,-3,0,-3,0,-2,-1,0,2,6,-7,0,-1,-1,-1,-1,-1,6,-1
-1,8,-7,10,1,0,2,4,3,-4,0,470,0,-4,0,1,1,1,1,1,2,-1
0,59,-12,-1,1,-3,-3,3,1,-1,0,7,0,-4,0,0,1,-1,-1,1,6,-1
-8,-104,-21,-17,-4,-2,-4,-6,-1,0,-2,-4,-7,-1,0,-3,-1,-1,-1,-1,6,-1
1,-33,0,6,0,8,1,-1,-2,0,1,30,4,-6,0,0,1,0,-1,1,1,-1
-1,16,-14,1,1,-1,0,-1,2,-5,1,17,-1,-5,0,0,1,-1,0,1,4,-1
-1,22,-12,-4,2,-1,0,-2,-3,0,1,1,0,-4,0,1,-1,1,1,1,1,-1
-3,6,-32,1,4,1,-1,-1,-2,0,0,-19,7,-8,0,-1,1,1,-1,1,1,-1
-2,15,-21,-12,1,-5,-5,-3,0,-3,-1,-11,-2,0,0,1,1,-1,1,-1,5,-1
2,13,-15,5,-1,0,3,7,-4,0,1,38,4,-5,0,1,1,-1,-1,1,3,-1
1,-50,-4,-5,-3,-2,2,-3,1,-1,-1,4,-2,-4,0,0,-1,1,0,-1,5,-1
4,47,5,7,0,2,2,0,3,-3,-1,7,3,-5,0,2,1,-1,1,-1,1,-1
-1,7,0,-3,0,-1,-1,2,-3,0,1,-36,-1,-4,0,-1,-1,-1,-1,1,1,-1
-3,-22,5,-10,-3,0,-2,-6,1,-1,-1,-2,0,-7,0,-1,-1,0,-1,-1,4,-1
-1,-50,-4,-2,0,2,-3,-1,0,0,1,-52,7,-10,0,-1,-1,1,-1,1,4,-1
-3,-7,-8,3,1,1,2,0,-1,0,1,4,1,-2,0,0,1,-1,1,1,4,-1
-1,-8,-19,-1,0,0,1,-2,0,0,0,7,4,-7,0,0,1,1,0,-1,1,-1
-1,-23,-20,-2,1,-3,6,-3,-3,-3,0,-114,3,-7,0,0,0,-1,1,1,0,-1
-7,-62,-26,-11,-2,-4,-4,-1,0,-1,0,32,6,-7,0,-1,-1,-1,-1,1,2,-1
-5,-35,-48,-11,-1,0,-2,-5,-3,-1,0,-4,-3,-4,0,-3,-1,-1,-1,-1,5,-1
1,-23,16,-2,2,0,-2,-1,-1,-1,0,-35,4,-8,0,1,1,1,1,-1,1,-1
-1,-33,-8,0,-2,-1,3,0,0,-2,0,-11,-3,-4,0,-2,-1,-1,-1,1,1,-1
-4,-10,-4,-6,-4,1,3,-5,-1,0,-1,87,0,-4,0,-1,-1,-1,-1,-1,4,-1
1,-18,-4,0,-1,-3,-1,3,2,-4,-2,-21,-3,-4,0,0,0,-1,-1,-1,0,-1
-1,-17,-32,-2,1,2,1,-7,1,-1,0,-25,-3,-2,0,0,-1,0,-1,-1,2,-1
1,3,-24,0,-4,-2,2,2,2,-2,0,6,-4,-4,0,-1,1,-1,-1,1,2,-1
-3,-47,12,-9,-3,0,-6,0,0,-4,-1,2,1,-4,0,0,-1,0,-1,-1,5,-1
1,5,-20,-2,-4,0,-2,4,0,0,-1,-5,1,-4,0,1,-1,-1,-1,-1,3,-1
-4,-19,-21,-2,-1,-5,8,-4,0,-2,0,-4,0,-5,0,-1,1,-1,-1,-1,4,-1
-1,-19,-8,-8,-1,1,-7,-1,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,-1
-3,-7,-24,-7,-2,-2,-1,-1,-1,0,-1,-16,0,0,0,-3,-1,-1,-1,-1,4,-1
-2,-2,4,3,-1,-2,-1,5,2,-2,0,-2,2,-5,0,-1,1,-1,-1,1,4,-1
-1,3,8,-8,-3,1,2,-8,0,-2,0,3,0,-6,0,-3,-1,-1,-1,-1,6,-1
1,36,12,6,-4,-2,7,4,1,-3,1,26,-7,-1,0,0,0,-1,-1,1,0,-1
-1,-10,20,-6,-1,0,0,-6,1,-2,0,0,-1,-3,0,0,-1,0,0,-1,3,-1
-4,-55,-31,-7,-2,-3,3,-2,-3,0,0,6,1,-4,-1,-5,-1,-1,-1,-1,2,-1
-2,-12,-4,-10,-1,-2,0,-5,-2,0,0,5,-4,-1,0,-1,1,-1,-1,-1,5,-1
-2,-9,-14,-10,-3,-6,0,0,-1,-1,0,-2,2,-6,0,0,1,-1,0,-1,2,-1
-3,-2,-9,-11,-7,-3,0,3,-4,-1,-1,2,0,-5,0,-2,-1,1,-1,-1,3,-1
-6,-49,-11,-12,0,-6,-8,2,0,-2,0,-3,5,-8,0,-1,-1,-1,-1,-1,6,-1
0,-22,-16,-1,2,1,-3,-1,0,0,0,5,2,-9,0,0,1,-1,-1,-1,3,-1
-3,-54,16,-10,-6,-4,-2,2,0,0,0,4,-1,-4,0,0,-1,-1,-1,1,2,-1
4,77,24,10,3,0,1,6,0,-2,0,2,5,-5,0,2,1,-1,1,1,4,-1
-5,-38,15,-9,-5,-5,0,1,0,-1,-1,-2,0,-7,0,0,-1,-1,-1,-1,3,-1
0,-19,-14,1,-3,6,-2,-2,2,-2,1,4,-1,-4,0,1,1,1,-1,1,3,-1
-1,-47,-8,3,-3,4,0,0,2,-2,0,-32,2,-4,0,1,1,-1,1,1,3,-1
-6,-100,-22,-8,-6,3,0,-4,-1,-1,0,4,4,-7,0,-2,1,1,-1,-1,6,-1
-6,-127,-35,-5,-2,-1,-2,0,0,0,0,9,-2,-2,0,-2,-1,-1,-1,-1,2,-1
-1,3,-26,3,-3,0,2,4,0,0,0,24,2,-8,0,0,1,-1,0,1,6,-1
2,60,16,-2,1,-3,-3,0,3,-5,0,3,-6,-3,0,0,-1,-1,1,-1,3,-1
-1,-8,-9,2,1,0,0,-1,2,-2,2,-338,1,-5,0,0,-1,1,0,1,6,-1
-1,-126,-13,-4,0,-1,-3,0,0,-1,-1,5,1,-6,0,-3,-1,-1,-1,-1,1,-1
-4,-95,-11,-8,-2,0,-1,-2,-3,0,1,-14,-8,-4,0,-2,-1,-1,-1,1,5,-1
-2,11,12,-5,-10,2,2,3,-2,0,0,-29,4,-6,0,0,1,1,1,-1,5,-1
0,-63,44,1,-1,2,-2,2,0,0,0,11,5,-6,0,0,1,-1,0,1,4,-1
-3,-43,-14,-8,-2,-1,-5,-4,4,-10,0,6,5,-6,0,0,0,0,0,-1,0,-1
3,-2,-24,8,1,6,2,-1,0,0,0,-11,-3,-5,0,-1,-1,0,-1,-1,6,-1
-2,-41,-22,0,-1,0,2,0,-1,-1,0,-2,0,-4,0,0,0,1,1,1,0,-1
-7,-92,-4,-6,-3,-1,-1,0,-1,-1,0,1,3,-8,0,-1,0,1,-1,1,0,-1
0,-46,12,-2,-2,3,-3,3,-3,0,0,1,2,-6,0,0,1,1,0,1,4,-1
-4,-46,-32,-13,1,-6,-6,1,-3,0,-2,4,-6,-7,0,-1,-1,-1,-1,-1,6,-1
-6,-72,-16,-5,-3,1,1,-4,0,0,0,14,1,-6,0,-2,-1,-1,-1,-1,5,-1
-1,9,-9,-1,-1,4,-2,-1,-1,0,0,-301,1,-3,0,0,-1,0,0,1,3,-1
-4,-53,0,-8,-4,-2,-1,0,-1,-1,-1,-11,-6,-4,0,-2,-1,-1,-1,-1,4,-1
-4,-7,11,-7,-2,-5,0,0,0,-1,0,-8,-7,-1,0,0,-1,-1,-1,1,1,-1
1,-10,-7,-5,-3,4,-2,0,-4,0,-2,114,-3,0,0,0,-1,-1,-1,-1,4,-1
-4,-36,-23,-12,1,-7,-1,-1,-4,-2,0,-5,-2,-2,0,-1,-1,1,-1,-1,4,-1
0,-21,15,1,-1,0,8,-5,-1,-2,0,-59,3,-5,0,-2,1,1,-1,1,6,-1
-1,-15,1,-4,-3,2,0,-3,0,0,0,11,-2,-2,0,-1,1,-1,-1,1,4,-1
-2,-5,-22,2,-2,-1,5,0,0,0,0,-2,0,-4,0,0,1,1,0,-1,2,-1
-1,33,25,-3,-4,3,0,-1,-1,-1,0,24,0,-3,0,0,0,1,-1,-1,0,-1
-3,-64,-18,-4,-2,1,-1,-2,0,0,0,-3,-3,-2,0,0,-1,-1,0,-1,5,-1
0,43,-8,1,0,3,1,-3,0,0,0,-5,-4,-7,0,1,-1,0,1,1,2,-1
-3,-64,-21,-10,3,-1,0,-12,0,-1,-1,4,-4,-1,0,-2,-1,-1,-1,-1,2,-1
-1,31,-4,-6,-3,0,-4,-1,2,-2,0,-382,1,-2,0,0,1,-1,-1,-1,1,-1
-2,-12,4,-7,1,-3,-3,0,-2,0,1,1,-2,-3,0,0,1,0,-1,1,3,-1
1,0,8,1,5,-2,2,-6,2,-3,0,-7,-1,-4,0,0,1,-1,-1,-1,4,-1
-1,-43,28,1,1,-4,3,2,-1,-1,0,19,1,-7,0,0,0,-1,-1,1,0,-1
-3,-72,20,-8,-5,-1,-1,-1,0,0,0,-12,-3,-2,0,-2,0,-1,-1,1,0,-1
-1,8,-28,-3,-1,-2,0,2,-2,-1,0,-23,0,-5,0,-1,0,0,-1,-1,0,-1
-3,-80,-31,-5,2,1,-4,-2,-2,-2,0,-28,1,-4,0,-3,0,0,-1,-1,0,-1
-2,-80,-3,-11,-2,-3,-8,0,2,-4,0,1,3,-5,0,-2,1,-1,-1,-1,1,-1
-3,-82,0,-8,0,-1,0,-6,-1,0,0,-4,-2,-3,0,-3,0,-1,-1,-1,0,-1
0,8,-4,-4,4,-3,-1,-3,-1,-1,0,2,0,-6,0,1,1,1,1,-1,4,-1
2,-25,39,3,5,1,-3,0,0,-1,0,-1,-5,-7,0,0,-1,1,-1,-1,2,-1
-2,4,-33,-2,-1,5,-7,1,0,-1,0,7,2,-7,0,-1,-1,-1,-1,1,2,-1
-4,-58,-56,-7,-2,-2,1,-4,0,0,0,1,-3,-1,0,0,-1,-1,0,-1,2,-1
-1,-37,-27,0,1,-2,-1,0,2,-2,0,-8,2,-5,0,-1,1,-1,-1,1,2,-1
0,18,11,0,2,0,-2,-1,1,-1,0,-48,-3,-3,0,0,-1,1,1,-1,2,-1
0,48,1,-2,0,1,-3,0,0,-1,0,-10,-3,-5,0,-1,0,1,-1,1,0,-1
-1,-26,35,2,4,-3,-1,0,2,-3,0,0,-6,-5,0,0,1,1,1,-1,5,-1
-5,-52,20,-9,-2,-4,0,-3,0,-1,0,-24,1,-4,0,-1,-1,-1,-1,-1,5,-1
1,-63,16,1,1,-3,0,3,0,0,0,-8,0,-5,0,1,-1,1,1,1,4,-1
2,-33,9,2,0,-1,1,3,-1,0,0,-9,0,-5,0,0,-1,-1,0,1,3,-1
5,75,18,11,-2,4,2,6,1,-1,0,-9,2,-6,0,0,0,1,-1,-1,0,-1
2,7,-3,2,2,4,0,-3,-1,-1,-1,-186,4,-8,0,-1,-1,0,-1,-1,2,-1
-5,-46,-25,-10,0,2,-1,-7,-4,-1,0,-23,1,-5,0,-2,-1,-1,-1,-1,2,-1
-5,-38,-26,-10,-5,-2,0,-2,-1,-4,-1,17,-3,-2,0,-2,0,1,-1,1,0,-1
5,22,12,6,3,2,-2,3,0,-2,0,-15,5,-8,0,0,1,0,0,-1,2,-1
-1,10,26,-2,-6,-3,2,6,-1,0,0,-3,-2,-1,0,0,-1,-1,0,-1,1,-1
-1,11,-4,-7,-6,1,3,-6,1,-2,0,-7,-3,-2,0,-1,-1,-1,-1,-1,1,-1
-5,-93,21,-12,-7,0,-1,-4,0,0,0,-7,-4,-3,0,0,-1,1,-1,-1,1,-1
-2,22,16,-11,-4,-1,0,2,-8,-2,1,-9,-8,0,0,-1,-1,1,-1,1,3,-1
-3,-41,2,-12,-4,5,-4,-4,-5,0,-4,-6,-5,-3,0,-1,0,-1,-1,-1,0,-1
1,15,6,8,1,-2,5,1,3,-3,0,9,0,-7,0,1,-1,1,1,1,3,-1
-4,-35,20,-11,0,-2,2,-3,-8,0,1,-5,1,-6,0,-1,0,1,-1,1,0,-1
2,-41,11,1,-3,-2,3,1,2,-2,0,6,-3,-4,0,0,-1,0,-1,-1,6,-1
-2,-60,0,-10,0,-2,-5,0,-3,-1,0,-10,0,-4,0,-2,-1,1,-1,1,3,-1
-4,-45,4,-8,-2,3,-2,-6,-1,0,0,-8,-1,-3,0,-2,-1,1,-1,-1,5,-1
-6,-64,-52,-18,0,-3,-5,-9,-1,-2,0,0,-11,-1,0,-2,-1,-1,-1,-1,6,-1
0,68,-40,-4,-3,0,-1,3,-3,0,-1,2,-2,-2,0,0,0,-1,0,-1,0,-1
0,-25,49,-1,-4,3,0,0,0,-4,-1,15,5,-7,0,0,0,1,1,1,0,-1
-3,-75,-21,-3,-2,2,0,-3,0,-1,0,-98,0,-6,0,-1,-1,-1,-1,-1,2,-1
-3,-54,12,0,-1,-1,-4,4,2,-2,-1,0,1,-5,0,-1,1,-1,-1,-1,6,-1
-4,-8,-17,-1,0,0,-2,2,-1,-2,0,-50,2,-7,0,0,-1,1,0,1,3,-1
-6,-132,-6,-15,-4,-3,1,-5,-4,-1,0,-25,0,-3,0,-3,-1,-1,-1,-1,5,-1
2,1,16,6,-2,1,-2,3,6,-7,0,-5,0,-4,0,1,-1,1,1,-1,1,-1
-4,-83,-43,2,-3,1,3,1,0,-1,0,-5,4,-6,0,-2,1,-1,-1,1,4,-1
-1,16,-12,-6,-1,-1,1,-1,-4,0,1,89,1,-5,0,0,-1,1,1,1,5,-1
-3,-37,-16,-3,0,1,0,-2,-2,-1,0,-9,-1,-5,0,-1,-1,1,-1,-1,1,-1
2,39,8,-1,3,-6,-1,2,1,-3,-3,-3,3,-5,0,1,1,0,1,-1,6,-1
0,-43,0,0,0,-4,3,1,0,0,0,5,0,-3,0,-1,1,1,-1,1,3,-1
-1,30,12,1,0,-1,-1,1,2,-3,0,35,2,-4,0,0,-1,-1,1,-1,2,-1
-1,36,-2,-5,1,-2,1,0,-5,-1,1,-4,-2,-3,0,0,-1,1,0,1,3,-1
-1,-38,17,-1,4,-4,2,-3,0,0,1,-14,-9,-3,0,0,-1,0,-1,1,5,-1
1,-20,5,-3,6,-1,-4,-4,0,-2,0,-11,-4,-3,0,0,-1,0,0,-1,2,-1
-4,-28,-12,-8,-4,-3,-2,0,1,-2,0,-38,-2,-4,0,0,-1,-1,-1,-1,1,-1
-3,-69,-24,-5,-1,-5,1,-1,1,-1,0,2,1,-4,0,-1,-1,1,-1,-1,4,-1
0,-2,3,-2,-3,1,-3,2,1,-2,0,34,-2,-5,0,0,-1,-1,-1,-1,6,-1
1,-5,7,3,4,-5,-3,7,0,-4,0,-6,-6,0,0,1,1,0,1,1,1,-1
-2,-12,-18,-6,1,-2,-1,-4,0,-1,0,160,-1,-5,0,1,-1,-1,-1,1,1,-1
-3,10,-24,-3,2,-1,1,0,-5,0,0,-325,-1,-6,0,0,-1,-1,0,1,4,-1
-1,-65,-29,-3,-3,-2,3,-1,0,-1,0,-5,-2,-1,0,0,1,-1,-1,-1,5,-1
-3,-45,-12,-12,-1,-2,-3,-6,0,-4,1,-14,-1,-5,0,0,-1,-1,-1,1,4,-1
0,-6,-4,-1,-1,0,2,-1,-1,0,0,1,-1,-7,0,-1,-1,0,-1,1,5,-1
-4,-17,-38,-2,-3,1,1,-1,0,0,0,-2,2,-8,0,-1,1,-1,-1,-1,5,-1
-1,74,16,-3,2,0,-3,-2,0,-1,0,14,4,-10,0,0,0,-1,0,-1,0,-1
-6,-95,-23,-7,-3,-1,-3,1,-1,-2,0,-6,2,-5,0,-1,1,-1,-1,-1,2,-1
2,-47,15,-3,1,-1,1,-3,-1,-1,0,1,0,-4,0,-1,1,-1,-1,-1,3,-1
-1,8,18,-5,-2,-3,-2,1,1,-3,0,-241,-5,-1,0,-2,-1,-1,-1,-1,3,-1
-2,5,-15,-5,1,-4,-1,-1,0,-1,-1,-18,-4,-4,0,-1,-1,-1,-1,-1,4,-1
-4,-78,-28,-7,-3,0,-5,0,1,-4,0,-3,-4,-3,0,0,1,-1,0,1,2,-1
-3,-66,-8,-5,3,-4,1,-5,0,-2,1,3,-3,-5,0,-1,-1,1,-1,1,4,-1
-2,-24,-13,-4,-1,-3,1,-2,1,-1,0,-10,-2,-2,0,0,-1,0,0,-1,4,-1
0,-48,12,1,-3,-3,5,-2,4,-4,0,2,-6,-3,0,0,-1,1,0,-1,3,-1
-2,-26,20,-3,0,-1,-1,-2,1,-1,0,-3,-2,-5,0,-1,1,-1,-1,1,5,-1
-4,-4,-10,-8,-2,-1,-2,-2,-1,0,0,-144,-1,-3,0,-1,1,-1,-1,-1,1,-1
0,-7,3,0,6,-4,-3,1,0,0,0,-4,2,-5,0,0,0,1,0,-1,0,-1
-1,-29,8,-10,-2,-2,1,-6,-1,-1,0,2,1,-4,0,-1,1,1,-1,-1,4,-1
0,-30,-20,2,-1,-2,5,-2,2,-3,0,6,2,-8,0,0,-1,-1,0,1,6,-1
-7,-71,-16,-8,-2,-1,-3,0,-2,0,0,-1,-1,-1,0,-3,1,-1,-1,1,3,-1
0,61,-12,-4,-3,3,2,-6,0,-1,2,11,-4,-3,0,0,-1,-1,0,-1,2,-1
-3,-2,-17,-4,2,-1,-1,-3,-1,-1,0,-35,3,-7,0,0,-1,0,0,1,4,-1
0,-69,-15,0,-4,-5,3,3,3,-4,-1,7,2,-6,0,-1,-1,0,-1,-1,1,-1
-1,-28,-16,4,5,5,-5,-1,0,-2,0,6,-1,-5,0,0,1,1,0,1,4,-1
-1,-47,-13,-3,2,1,-2,-3,-1,-1,0,8,-2,-4,0,1,-1,1,1,-1,4,-1
-1,-43,0,-1,-1,1,-6,-2,7,-7,1,0,6,-7,0,-1,1,-1,-1,1,3,-1
0,53,-12,3,3,-2,2,1,-1,0,0,2,0,-5,0,1,-1,-1,1,1,1,-1
-2,74,-31,-3,1,-4,-3,1,2,-2,0,3,1,-7,0,1,-1,-1,1,-1,2,-1
-6,-134,-32,-14,-2,-3,-6,-4,1,-1,0,6,2,-6,0,-3,-1,1,-1,-1,1,-1
1,-34,-16,1,0,1,3,-4,1,-3,0,-8,-2,-2,0,0,-1,1,0,-1,6,-1
1,-8,-14,-1,-4,-1,0,2,2,-2,0,2,6,-8,0,0,1,0,0,-1,2,-1
-1,-37,-4,-7,-1,3,-4,-4,-1,-1,0,-10,-5,-5,0,-1,-1,-1,-1,-1,3,-1
