Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,Diff-K-jug,Diff-K-mid,Diff-K-ad,Diff-K-sup,K-LOSE-sup,invadeKill,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
-3,-19,-17,0,-2,-3,0,3,2,-2,0,-13,-1,-4,0,-1,-1,-1,-1,1,5,-1
1,5,15,-3,-1,-1,-1,-1,1,-3,0,-34,3,-8,0,-2,-1,-1,-1,1,6,-1
-2,-42,12,2,1,1,2,0,-2,0,0,20,3,-6,0,-2,1,1,-1,-1,1,-1
-2,29,-15,-1,-1,0,3,-2,-1,-1,0,-3,-1,-1,0,1,0,-1,-1,-1,0,-1
1,-45,20,0,-3,-1,3,-1,2,-2,1,-4,-3,-5,0,-1,-1,1,-1,1,6,-1
0,-28,4,1,-1,8,-2,-3,-1,-2,1,32,1,-1,0,1,-1,1,1,1,5,-1
-2,-3,9,-7,0,-3,-4,-2,2,-2,0,15,1,-2,0,0,1,1,-1,-1,1,-1
-3,-37,-16,-11,-5,-2,-3,-4,3,-3,0,413,-5,-2,0,-2,-1,-1,-1,-1,4,-1
1,-29,11,-1,2,4,-5,-2,0,-1,-1,-2,-3,-4,0,0,-1,1,0,-1,2,-1
0,14,-6,2,-1,-3,5,1,0,-2,0,5,6,-10,0,0,-1,1,1,-1,3,-1
-1,47,-4,6,1,2,2,-1,2,-2,2,0,1,-8,0,1,-1,-1,1,-1,1,-1
-5,-80,-25,-1,-4,-1,3,1,0,-2,1,2,2,-8,0,-1,1,1,-1,1,3,-1
-4,-25,-13,-9,-2,-8,0,-1,2,-2,-1,1,-1,-3,0,0,-1,1,1,-1,6,-1
-4,9,-28,-6,-2,2,-5,-1,0,0,0,-33,-3,-3,0,0,0,-1,0,-1,0,-1
-2,3,1,-4,-9,7,-3,-4,5,-6,0,-14,-1,-4,0,-1,0,0,-1,-1,0,-1
-2,-48,8,-8,-1,0,-3,-3,-1,0,0,2,-1,-3,0,-1,1,-1,-1,-1,2,-1
-4,-54,-5,-15,-6,-2,-5,0,-2,0,0,-8,-2,-6,0,0,-1,1,-1,-1,2,-1
-1,-12,1,7,-2,0,2,6,1,-2,0,-6,0,-4,0,-1,1,0,-1,-1,6,-1
